model_id,algorithm_id,mean_test_accuracy,mean_test_precision_micro,mean_test_precision_macro,mean_test_precision_weighted,mean_test_recall_micro,mean_test_recall_macro,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_micro,geometric_mean_score_macro,geometric_mean_score_weighted,matthews_corrcoef,f5_micro,f5_macro,f5_weighted,f1_micro,f1_macro,f1_weighted,f2_micro,f2_macro,f2_weighted,log_loss
1,1,0.1866348449,0.1866348449,0.4928652608,0.8007147608,0.1866348449,0.4914363636,0.1866348449,0.4914363636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,1,0.1866348449,0.1866348449,0.4928652608,0.8007147608,0.1866348449,0.4914363636,0.1866348449,0.4914363636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,1,0.168973747,0.168973747,0.5009858696,0.8138749015,0.168973747,0.4996242424,0.168973747,0.4892787879,0.1985680191,0.5522666667,0.4241411768,0.1100465059,0.1985680191,0.2546482794,0.344635511,0.1985680191,0.1984628282,0.1912090403,0.1985680191,0.261582357,0.155533212,0.6477957348
4,1,0.1866348449,0.1866348449,0.4928652608,0.8007147608,0.1866348449,0.4914363636,0.1866348449,0.4890848485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,1,0.2090692124,0.2090692124,0.5004239403,0.8128165689,0.2090692124,0.4999575758,0.2090692124,0.4747272727,0.2372315036,0.5457818182,0.4501938432,0.0795900126,0.2372315036,0.3048397406,0.4354017387,0.2372315036,0.2359738007,0.2604620152,0.2372315036,0.2860933762,0.207352968,1.0
6,1,0.2090692124,0.2090692124,0.5004239403,0.8128165689,0.2090692124,0.4999575758,0.2090692124,0.4749939394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,1,0.8730310263,0.8730310263,0.5556375778,0.8261413947,0.8730310263,0.5158181818,0.8730310263,0.5618484848,0.9031026253,0.5887878788,0.4978728817,0.3094028259,0.9031026253,0.6782659671,0.8741311473,0.9031026253,0.6203358267,0.8791737978,0.9031026253,0.5962878709,0.8921615561,0.1918193547
8,1,0.8739856802,0.8739856802,0.5626922197,0.8277006884,0.8739856802,0.5163515152,0.8739856802,0.5617090909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,1,0.8854415274,0.8854415274,0.4875608654,0.8095242221,0.8854415274,0.5006848485,0.8854415274,0.5717575758,0.8964200477,0.5208606061,0.3609028633,0.1425678701,0.8964200477,0.545232963,0.8388053568,0.8964200477,0.5147465846,0.8547194487,0.8964200477,0.5154463743,0.8786023641,0.2160880679
10,1,0.8854415274,0.8854415274,0.5127502315,0.8151137795,0.8854415274,0.5026909091,0.8854415274,0.5720060606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
